TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
7005,60937841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7010,60963841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7015,60989841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7020,61015841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7025,61041841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7030,61067841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7035,61093841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7040,61119841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7045,61145841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7050,61171841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7055,61197841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7060,61223841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7065,61249841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
7070,61275841,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
